booth_id,category,group_name,place,type,overview
grade-1a,学年,中１合唱,講堂,合唱,合唱
grade-1b,学年,中１バザー,"M1A,M1B",販売,バザー
grade-2a,学年,中２合唱,講堂,合唱,合唱
grade-2b,学年,中２学年,"M2A,M2B,M2C,M2D",サマザマ,迷路、ゲーム、授業
class-m3a,クラス,M3A,H3A,体験,玉入れ
class-m3b,クラス,M3B,H3B,体験,フリースロー
class-m3c,クラス,M3C,H3C,体験,たくさんのゲーム
class-m3d,クラス,M3D,H3D,体験,ダーツ
class-h1a,クラス,H1A,グラウンド,フード,ラーメン
class-h1b,クラス,H1B,グラウンド,フード,ホットドッグ
class-h1c,クラス,H1C,グラウンド,フード,トルネードポテト
class-h1d,クラス,H1D,グラウンド,フード,ハンバーガー
class-h2a,クラス,H2A,グラウンド,フード,パンケーキ
class-h2b,クラス,H2B,特３,体験,空中ブランコ
class-h2c,クラス,H2C,"H2B,H2C",体験,サバゲー
class-h2d,クラス,H2D,グラウンド,フード,まぜそば
club-01,クラブ,陸上競技部,グラウンド,フード,焼き団子
club-02,クラブ,高校野球部,グラウンド,フード,やきそば
club-03,クラブ,高校テニス部,グラウンド,フード,ピザ
club-04,クラブ,剣道部,グラウンド,フード,焼き鳥
club-05,クラブ,卓球部,グラウンド,フード,こんにゃく
club-06,クラブ,バレーボール部,グラウンド,フード,たません
club-07,クラブ,ホッケー部,グラウンド,フード,フライドポテト
club-08,クラブ,高校バスケ部,グラウンド,フード,たこ焼き
club-09,クラブ,ボランティア部,グラウンド,フード、展示,販売(飲料)
club-10,クラブ,数学研究部,M3C,展示,PCゲームの展示販売
club-11,クラブ,地歴研究部,M3D,展示,展示・クイズ
club-12,クラブ,写真部,中学４F特別,展示,写真展示・販売・撮影
club-13,クラブ,化学部,化学実験室,展示,展示・演示実験
club-14,クラブ,カトリック研究部,カトリックセンター,展示,研究報告
club-15,クラブ,ESS部,視聴覚,展示,映画放映
club-16,クラブ,ライフサイエンス部,生物実験室,展示,展示
club-17,クラブ,美術部,H2D,展示,作品展示＋部誌販売
club-18,クラブ,ライフル射撃部,特２,展示,ライフル射撃に関する展示
club-19,クラブ,天文部,"H1C,H1D",展示,プラネタリウム
club-20,クラブ,柔道部,技術室,体験,お化け屋敷
club-21,クラブ,物理部,特5,体験,ステンドグラス作り
club-22,クラブ,囲碁将棋部,H2A,体験,将棋
club-23,クラブ,クイズ研究会,特４,体験,クイズ
club-24,クラブ,電気工学部,物理実験室,体験,ミニゲーム、製作体験
club-25,クラブ,弓道部,グラウンド,体験,スーパーボールすくい
club-26,クラブ,サッカー部,グラウンド,体験,PK
club-27,クラブ,高校サッカー部,グラウンド,体験,占い
club-28,クラブ,文芸部,H3E,体験,カードゲーム
club-29,クラブ,けん玉同好会,音楽室,体験,けん玉教室
club-30,クラブ,合唱部,講堂,合唱,合唱
club-31,クラブ,吹奏楽部,音楽室,バンド,演奏会
volu-01,有志,星光アミューズメント課,"大教室,特１",体験,ジェットコースター・メリーゴーランド
volu-02,有志,Team Aoristos,M3B,展示,活動内容の展示
volu-03,有志,言語同好会(外国語班),一般教室,展示,作品展示
volu-04,有志,言語同好会(日本語班),一般教室,体験,漢字テスト
volu-05,有志,AH!Astery,特6,体験,謎解き
volu-06,有志,鉄道同好会,第２体育館,体験,鉄道模型
volu-07,有志,文芸部・美術部合同,視聴覚,展示,短編映画
volu-08,有志,親父の会,グラウンド,フード,フランクフルト
volu-09,有志,ふれあい広場(赤おに青おに),グラウンド,体験,###
volu-10,有志,書道・美術展示,"M1C,M1D",展示,###
volu-11,有志,とびたて発表,###,展示,レポート展示
volu-12,有志,受験生相談,会議室,体験,###
volu-13,有志,FUNNYMONKEYSTUDENTS,書道教室,体験,シューティングゲーム
volu-14,有志,アグベイZINE協会,M3A,展示,写真展＋部誌販売
volu-15,有志,漫才Ⅲ,講堂,コードー,漫才
volu-16,有志,ヲタ芸,講堂,コードー,ヲタ芸
volu-17,有志,星光生ラップ選手権,講堂,コードー,ラップ(バンド)
volu-18,有志,先生と生徒のジャズ,講堂,バンド,ジャズ演奏(バンド)
volu-19,有志,福富・鈴木によるバイオリンスペシャルコンサート,音楽室,バンド,バイオリン
volu-20,有志,バイオリン・ピアノ,講堂,バンド,バイオリン
volu-21,有志,小島・松村ウルトラバンド,音楽室,バンド,バイオリン・ピアノ・チェロ(バンド)
volu-22,有志,I Love You,講堂,バンド,バンド
volu-23,有志,Navy Bloom,講堂,バンド,バンド
volu-24,有志,Know Weathers',講堂,バンド,バンド
volu-25,有志,TYSYT,講堂,バンド,バンド
volu-26,有志,ぶんぶん,講堂,バンド,バンド
volu-27,有志,The strange face man,講堂,バンド,バンド
volu-28,有志,エンゲル係数高め,講堂,バンド,バンド
volu-29,有志,shy achiever,講堂,バンド,バンド
volu-30,有志,Unnamed eclat,講堂,バンド,バンド
unei-00,有志,星光グッズ,2F渡り廊下,販売,星光SFオリジナルグッズ販売